Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C19, C20, C23, C3, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C8, C9",0402,39,100n,
"C13, C18",0402,2,1u,
"C17, C2, C21, C24, C33, C4",0603,6,10u,
C22,CP_Elec_6.3x7.7,1,100µ 35V,
"C25, C26, C27, C28, C29, C30, C31, C32",0603,8,10n,
"C6, C7",0402,2,27pF,
"D1, D2",D_SOD-323,2,SD15,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D7, D8, D9",D_SOD-323,16,1N4148WS,
"D23, D3",D_SOD-323,2,1A,
D4,0805,1,LED gn,
D5,D_SMA,1,SMAJ5.0,
D6,D_SOD-323,1,SD05,
"J1, J4",Terminal_Block_RTMPin,2,Conn_01x06,
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J6,Molex_KK-396_5273-09A_1x09_P3.96mm_Vertical,1,Conn_01x09,
"J8, J9",Molex_KK-396_5273-10A_1x10_P3.96mm_Vertical,2,Conn_01x10,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,MMBT3904,
"R1, R10, R11, R18, R38, R39, R44, R45, R50, R51, R65, R66, R7, R71, R72, R77, R78, R8, R83, R84, R89, R90",0603,22,10k,
"R12, R13",0402,2,27,
"R14, R19, R58, R6, R62",0402,5,1k,
"R15, R2, R40, R41, R46, R47, R52, R53, R67, R68, R73, R74, R79, R80, R85, R86, R91, R92",0603,18,100R,
"R16, R17",0603,2,5k1,
"R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R42, R43, R48, R49, R54, R55, R69, R70, R75, R76, R81, R82, R87, R88, R93, R94",0603,32,1k,
"R36, R37, R57, R60, R61, R64",0603,6,2k,
R4,0603,1,120R,
R56,0603,1,33k,
R59,0603,1,5k,
R63,0603,1,3k,
R9,0603,1,0,
SW1,SW_SPST_SKQG_WithStem,1,Reset,
SW2,SW_SPST_SKQG_WithStem,1,Boot,
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,ADDRESS,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADM3483,
U14,SOT-23-5,1,LMV321,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOT-23-5,1,SN74AHCT1G125,
U5,SOT-23-5,1,AP2112K-3.3,
"U6, U7, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,4,LM339,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12MHz,18pF",
